GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width,label,mean_s_simulation__speedup__V100_SXM2_CUDA_11.8
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,195112,58.000000,2.000000,1.000000,198.959493,0.000000,0.251132,0.000000,0.000000,0.001242,195112.000000,3.448276,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,300763,67.000000,2.000000,1.000000,192.584854,0.000000,0.323636,0.000000,0.000000,0.001605,300763.000000,2.985075,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,405224,74.000000,2.000000,1.000000,202.003108,0.000000,0.425382,0.000000,0.000000,0.002114,405224.000000,2.702703,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,493039,79.000000,2.000000,1.000000,195.315435,0.000000,0.505479,0.000000,0.000000,0.002515,493039.000000,2.531646,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,592704,84.000000,2.000000,1.000000,203.049311,0.000000,0.601773,0.000000,0.000000,0.002996,592704.000000,2.380952,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,704969,89.000000,2.000000,1.000000,197.129272,0.000000,0.699302,0.000000,0.000000,0.003484,704969.000000,2.247191,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,804357,93.000000,2.000000,1.000000,197.677032,0.000000,0.740919,0.000000,0.000000,0.003692,804357.000000,2.150538,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,912673,97.000000,2.000000,1.000000,198.333059,0.000000,0.840255,0.000000,0.000000,0.004188,912673.000000,2.061856,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1000000,100.000000,2.000000,1.000000,204.504023,0.000000,0.943596,0.000000,0.000000,0.004705,1000000.000000,2.000000,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1.000000,181.066279,2.440000,0.060170,0.000000,0.000000,0.000287,10648.000000,9.090909,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1.000000,168.547826,0.018000,0.059088,0.000000,0.000000,0.000282,19683.000000,7.407407,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1.000000,173.234217,0.018333,0.063833,0.000000,0.000000,0.000306,29791.000000,6.451613,V100 SXM2 CUDA 11.8,1.000000
