GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_ms_step,env_volume
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,46,1.000,16.511,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,47,1.000,16.514,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,48,1.000,16.526,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,49,1.000,16.536,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,50,1.000,16.540,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,51,1.000,16.550,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,52,1.000,16.564,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,53,1.000,16.572,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,54,1.000,16.580,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,55,1.000,16.590,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,56,1.000,16.600,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,57,1.000,16.611,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,58,1.000,16.619,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,59,1.000,16.636,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,60,1.000,16.648,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,61,1.000,16.647,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,62,1.000,16.660,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,63,1.000,16.669,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,64,1.000,16.680,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,65,1.000,16.695,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,66,1.000,16.701,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,67,1.000,16.711,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,68,1.000,16.721,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,69,1.000,16.731,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,70,1.000,16.741,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,71,1.000,16.750,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,72,1.000,16.763,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,73,1.000,16.774,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,74,1.000,16.784,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,75,1.000,16.796,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,76,1.000,16.815,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,77,1.000,16.828,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,78,1.000,16.843,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,79,1.000,16.860,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,80,1.000,16.874,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,81,1.000,16.882,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,82,1.000,16.899,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,83,1.000,16.908,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,84,1.000,16.922,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,85,1.000,16.939,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,86,1.000,16.958,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,87,1.000,16.974,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,88,1.000,16.988,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,89,1.000,17.000,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,90,1.000,17.027,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,91,1.000,17.038,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,92,1.000,17.051,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,93,1.000,17.059,19683.000
