GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_ms_rtc,mean_ms_simulation,mean_ms_init,mean_ms_exit,mean_ms_step_mean,env_volume
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,59049,27.000,2.000,3.000,559.421,12.095,477.755,0.003,0.069,2.375,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,59319,39.000,2.000,1.000,196.662,11.977,208.729,0.002,0.066,1.030,59319.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,59582,31.000,2.000,2.000,381.585,11.916,351.496,0.002,0.066,1.744,29791.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,68921,41.000,2.000,1.000,197.881,12.005,214.881,0.002,0.060,1.061,68921.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,78608,34.000,2.000,2.000,414.098,12.169,492.092,0.002,0.069,2.446,39304.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,78732,27.000,2.000,4.000,741.940,12.109,831.500,0.002,0.068,4.143,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,79507,43.000,2.000,1.000,198.501,12.534,267.259,0.002,0.068,1.323,79507.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,89373,31.000,2.000,3.000,567.623,12.012,677.377,0.003,0.064,3.373,29791.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,91125,45.000,2.000,1.000,199.345,12.723,279.709,0.003,0.055,1.384,91125.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,97336,46.000,2.000,1.000,210.587,12.015,295.434,0.003,0.059,1.463,97336.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,101306,37.000,2.000,2.000,388.567,12.121,493.765,0.002,0.061,2.454,50653.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,117912,34.000,2.000,3.000,621.288,12.312,1199.760,0.002,0.065,5.985,39304.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,118638,39.000,2.000,2.000,389.992,12.059,792.333,0.002,0.066,3.948,59319.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,119164,31.000,2.000,4.000,756.167,12.596,1460.011,0.002,0.068,7.286,29791.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,137842,41.000,2.000,2.000,391.983,12.136,856.453,0.002,0.069,4.268,68921.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,148877,53.000,2.000,1.000,201.392,12.123,495.406,0.002,0.062,2.463,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,151959,37.000,2.000,3.000,581.715,12.085,1266.243,0.002,0.068,6.317,50653.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,157216,34.000,2.000,4.000,828.485,12.207,1780.595,0.002,0.067,8.889,39304.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,159014,43.000,2.000,2.000,393.382,12.536,909.971,0.002,0.067,4.536,79507.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,177957,39.000,2.000,3.000,582.905,12.782,1446.929,0.002,0.069,7.221,59319.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,182250,45.000,2.000,2.000,394.742,12.430,1015.230,0.002,0.072,5.062,91125.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,194672,46.000,2.000,2.000,418.548,12.267,1082.213,0.003,0.067,5.397,97336.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,195112,58.000,2.000,1.000,211.736,12.866,599.159,0.002,0.064,2.982,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,202612,37.000,2.000,4.000,773.243,13.046,1927.811,0.002,0.069,9.625,50653.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,206763,41.000,2.000,3.000,586.107,12.718,1706.172,0.002,0.067,8.517,68921.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,237276,39.000,2.000,4.000,776.709,12.994,2478.260,0.002,0.091,12.377,59319.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,238521,43.000,2.000,3.000,588.755,12.189,1922.784,0.002,0.070,9.600,79507.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,250047,63.000,2.000,1.000,204.084,12.673,793.705,0.002,0.068,3.955,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,273375,45.000,2.000,3.000,591.293,12.138,2265.967,0.002,0.068,11.316,91125.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,275684,41.000,2.000,4.000,779.570,12.213,2946.894,0.002,0.068,14.720,68921.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,292008,46.000,2.000,3.000,627.801,12.487,2435.149,0.003,0.068,12.162,97336.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,297754,53.000,2.000,2.000,401.181,12.164,1638.389,0.002,0.065,8.178,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,300763,67.000,2.000,1.000,204.610,12.868,937.484,0.002,0.066,4.674,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,318028,43.000,2.000,4.000,783.834,12.634,3440.922,0.002,0.069,17.190,79507.000
