GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,ms_step
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,55,0.784
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,56,0.786
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,57,0.787
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,58,0.785
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,59,0.786
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,60,0.788
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,61,0.793
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,62,0.793
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,63,0.793
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,64,0.800
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,65,0.802
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,66,0.806
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,67,0.802
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,68,0.809
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,69,0.806
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,70,0.808
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,71,0.814
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,72,0.817
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,73,0.821
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,74,0.822
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,75,0.831
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,76,0.838
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,77,0.844
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,78,0.848
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,79,0.849
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,80,0.848
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,81,0.853
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,82,0.859
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,83,0.861
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,84,0.868
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,85,0.871
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,86,0.872
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,87,0.880
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,88,0.887
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,89,0.889
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,90,0.895
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,91,0.892
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,92,0.900
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,93,0.906
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,94,0.910
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,95,0.917
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,96,0.925
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,97,0.930
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,98,0.937
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,99,0.943
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,0,1.076
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,1,0.735
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,2,0.733
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,3,0.724
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,4,0.728
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,5,0.727
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,6,0.728
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,7,0.727
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,8,0.728
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,9,0.727
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,10,0.728
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,11,0.726
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,12,0.726
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,13,0.733
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,14,0.726
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,15,0.730
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,16,0.729
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,17,0.724
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,18,0.737
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,19,0.729
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,20,0.730
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,21,0.729
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,22,0.729
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,23,0.731
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,24,0.735
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,25,0.731
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,26,0.729
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,27,0.731
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,28,0.737
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,29,0.745
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,30,0.738
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,31,0.733
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,32,0.734
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,33,0.737
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,34,0.741
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,35,0.738
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,36,0.738
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,37,0.749
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,38,0.738
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,39,0.737
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,40,0.742
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,41,0.743
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,42,0.743
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,43,0.743
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,44,0.743
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,45,0.746
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,46,0.746
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,47,0.748
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,48,0.752
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,49,0.749
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,50,0.763
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,51,0.754
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,52,0.753
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,53,0.753
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,54,0.757
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,55,0.763
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,56,0.766
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,57,0.761
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,58,0.761
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,59,0.766
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,60,0.766
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,61,0.770
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,62,0.768
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,63,0.772
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,64,0.775
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,65,0.780
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,66,0.782
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,67,0.784
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,68,0.791
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,69,0.787
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,70,0.792
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,71,0.793
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,72,0.791
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,73,0.793
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,74,0.802
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,75,0.801
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,76,0.801
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,77,0.810
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,78,0.817
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,79,0.818
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,80,0.823
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,81,0.830
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,82,0.823
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,83,0.828
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,84,0.831
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,85,0.840
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,86,0.846
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,87,0.849
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,88,0.850
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,89,0.853
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,90,0.862
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,91,0.866
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,92,0.869
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,93,0.873
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,94,0.877
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,95,0.882
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,96,0.883
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,97,0.888
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,98,0.893
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,99,0.899
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,0,0.922
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,1,0.580
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,2,0.584
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,3,0.584
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,4,0.576
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,5,0.568
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,6,0.569
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,7,0.566
