GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,119164,31.000,2.000,2,4.000,715.502,0.002,1047.780,0.002,0.035,10.470
TITAN V,1,0,circles_spatial3D_rtc,100,119164,31.000,2.000,0,4.000,715.349,7.817,825.665,0.002,0.032,8.249
TITAN V,1,0,circles_spatial3D_rtc,100,119164,31.000,2.000,1,4.000,715.565,7.755,863.361,0.002,0.031,8.625
TITAN V,1,0,circles_spatial3D_rtc,100,119164,31.000,2.000,2,4.000,715.502,7.740,846.358,0.002,0.031,8.455
TITAN V,1,0,circles_spatial3D,100,39304,34.000,2.000,0,1.000,197.253,0.002,144.544,0.002,0.038,1.438
TITAN V,1,0,circles_spatial3D,100,39304,34.000,2.000,1,1.000,198.137,0.002,143.541,0.002,0.037,1.428
TITAN V,1,0,circles_spatial3D,100,39304,34.000,2.000,2,1.000,197.446,0.002,143.452,0.002,0.036,1.427
TITAN V,1,0,circles_spatial3D_rtc,100,39304,34.000,2.000,0,1.000,197.253,7.613,76.918,0.002,0.031,0.761
TITAN V,1,0,circles_spatial3D_rtc,100,39304,34.000,2.000,1,1.000,198.137,7.627,76.395,0.002,0.031,0.756
TITAN V,1,0,circles_spatial3D_rtc,100,39304,34.000,2.000,2,1.000,197.446,7.586,77.472,0.002,0.031,0.767
TITAN V,1,0,circles_spatial3D,100,78608,34.000,2.000,0,2.000,393.500,0.002,514.967,0.002,0.038,5.142
TITAN V,1,0,circles_spatial3D,100,78608,34.000,2.000,1,2.000,394.182,0.002,512.292,0.002,0.033,5.115
TITAN V,1,0,circles_spatial3D,100,78608,34.000,2.000,2,2.000,393.842,0.003,494.416,0.002,0.039,4.936
TITAN V,1,0,circles_spatial3D_rtc,100,78608,34.000,2.000,0,2.000,393.500,7.693,263.645,0.002,0.033,2.628
TITAN V,1,0,circles_spatial3D_rtc,100,78608,34.000,2.000,1,2.000,394.182,7.656,262.393,0.002,0.032,2.616
TITAN V,1,0,circles_spatial3D_rtc,100,78608,34.000,2.000,2,2.000,393.842,7.646,263.817,0.002,0.032,2.630
TITAN V,1,0,circles_spatial3D,100,117912,34.000,2.000,0,3.000,590.552,0.002,865.389,0.002,0.040,8.646
TITAN V,1,0,circles_spatial3D,100,117912,34.000,2.000,1,3.000,590.115,0.002,855.332,0.002,0.039,8.545
TITAN V,1,0,circles_spatial3D,100,117912,34.000,2.000,2,3.000,590.673,0.003,862.902,0.002,0.040,8.621
TITAN V,1,0,circles_spatial3D_rtc,100,117912,34.000,2.000,0,3.000,590.552,7.713,719.905,0.002,0.036,7.191
TITAN V,1,0,circles_spatial3D_rtc,100,117912,34.000,2.000,1,3.000,590.115,7.750,713.150,0.002,0.032,7.123
TITAN V,1,0,circles_spatial3D_rtc,100,117912,34.000,2.000,2,3.000,590.673,7.744,714.062,0.002,0.032,7.133
TITAN V,1,0,circles_spatial3D,100,157216,34.000,2.000,0,4.000,786.517,0.002,1610.336,0.002,0.031,16.095
TITAN V,1,0,circles_spatial3D,100,157216,34.000,2.000,1,4.000,785.679,0.002,1607.585,0.002,0.032,16.068
TITAN V,1,0,circles_spatial3D,100,157216,34.000,2.000,2,4.000,787.102,0.002,1613.471,0.002,0.032,16.127
TITAN V,1,0,circles_spatial3D_rtc,100,157216,34.000,2.000,0,4.000,786.517,7.824,992.653,0.002,0.031,9.918
TITAN V,1,0,circles_spatial3D_rtc,100,157216,34.000,2.000,1,4.000,785.679,7.805,988.205,0.002,0.031,9.874
TITAN V,1,0,circles_spatial3D_rtc,100,157216,34.000,2.000,2,4.000,787.102,7.785,990.560,0.002,0.032,9.898
TITAN V,1,0,circles_spatial3D,100,50653,37.000,2.000,0,1.000,184.953,0.002,145.741,0.002,0.036,1.450
TITAN V,1,0,circles_spatial3D,100,50653,37.000,2.000,1,1.000,185.329,0.002,145.611,0.002,0.037,1.448
TITAN V,1,0,circles_spatial3D,100,50653,37.000,2.000,2,1.000,185.261,0.002,147.244,0.002,0.036,1.465
TITAN V,1,0,circles_spatial3D_rtc,100,50653,37.000,2.000,0,1.000,184.953,7.616,108.126,0.002,0.030,1.073
TITAN V,1,0,circles_spatial3D_rtc,100,50653,37.000,2.000,1,1.000,185.329,7.610,107.750,0.002,0.031,1.070
TITAN V,1,0,circles_spatial3D_rtc,100,50653,37.000,2.000,2,1.000,185.261,7.614,109.120,0.002,0.030,1.083
TITAN V,1,0,circles_spatial3D,100,101306,37.000,2.000,0,2.000,368.877,0.002,535.971,0.002,0.070,5.351
TITAN V,1,0,circles_spatial3D,100,101306,37.000,2.000,1,2.000,368.710,0.002,535.007,0.003,0.039,5.342
TITAN V,1,0,circles_spatial3D,100,101306,37.000,2.000,2,2.000,369.279,0.003,534.516,0.002,0.037,5.337
TITAN V,1,0,circles_spatial3D_rtc,100,101306,37.000,2.000,0,2.000,368.877,7.841,394.871,0.002,0.031,3.941
TITAN V,1,0,circles_spatial3D_rtc,100,101306,37.000,2.000,1,2.000,368.710,7.702,394.367,0.002,0.031,3.936
TITAN V,1,0,circles_spatial3D_rtc,100,101306,37.000,2.000,2,2.000,369.279,7.738,395.540,0.002,0.031,3.947
TITAN V,1,0,circles_spatial3D,100,151959,37.000,2.000,0,3.000,552.592,0.002,1146.147,0.002,0.031,11.454
