GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,59319,39.000,2.000,1,1.000,186.767,0.003,151.673,0.002,0.038,1.509
TITAN V,1,0,circles_spatial3D,100,59319,39.000,2.000,2,1.000,186.714,0.003,152.599,0.002,0.036,1.518
TITAN V,1,0,circles_spatial3D_rtc,100,59319,39.000,2.000,0,1.000,186.512,7.806,111.889,0.002,0.031,1.111
TITAN V,1,0,circles_spatial3D_rtc,100,59319,39.000,2.000,1,1.000,186.767,7.756,111.938,0.002,0.030,1.111
TITAN V,1,0,circles_spatial3D_rtc,100,59319,39.000,2.000,2,1.000,186.714,7.661,111.906,0.002,0.031,1.111
TITAN V,1,0,circles_bruteforce,100,68921,41.000,2.000,0,1.000,68921.000,0.002,6490.290,0.002,0.002,64.895
TITAN V,1,0,circles_bruteforce,100,68921,41.000,2.000,1,1.000,68921.000,0.002,6490.826,0.002,0.002,64.901
TITAN V,1,0,circles_bruteforce,100,68921,41.000,2.000,2,1.000,68921.000,0.002,6494.226,0.002,0.002,64.935
TITAN V,1,0,circles_bruteforce_rtc,100,68921,41.000,2.000,0,1.000,68921.000,8.014,2999.212,0.002,0.002,29.984
TITAN V,1,0,circles_bruteforce_rtc,100,68921,41.000,2.000,1,1.000,68921.000,7.686,3001.263,0.002,0.002,30.005
TITAN V,1,0,circles_bruteforce_rtc,100,68921,41.000,2.000,2,1.000,68921.000,7.688,3001.312,0.002,0.002,30.005
TITAN V,1,0,circles_spatial3D,100,68921,41.000,2.000,0,1.000,188.158,0.003,163.124,0.002,0.040,1.623
TITAN V,1,0,circles_spatial3D,100,68921,41.000,2.000,1,1.000,188.014,0.002,162.377,0.002,0.037,1.616
TITAN V,1,0,circles_spatial3D,100,68921,41.000,2.000,2,1.000,188.219,0.003,163.992,0.002,0.038,1.632
TITAN V,1,0,circles_spatial3D_rtc,100,68921,41.000,2.000,0,1.000,188.158,7.863,118.752,0.002,0.031,1.180
TITAN V,1,0,circles_spatial3D_rtc,100,68921,41.000,2.000,1,1.000,188.014,7.727,117.719,0.002,0.031,1.169
TITAN V,1,0,circles_spatial3D_rtc,100,68921,41.000,2.000,2,1.000,188.219,7.726,118.013,0.002,0.040,1.172
TITAN V,1,0,circles_bruteforce,100,79507,43.000,2.000,0,1.000,79507.000,0.002,7426.062,0.002,0.002,74.253
TITAN V,1,0,circles_bruteforce,100,79507,43.000,2.000,1,1.000,79507.000,0.003,7431.790,0.002,0.002,74.310
TITAN V,1,0,circles_bruteforce,100,79507,43.000,2.000,2,1.000,79507.000,0.003,7431.161,0.002,0.002,74.304
TITAN V,1,0,circles_bruteforce_rtc,100,79507,43.000,2.000,0,1.000,79507.000,8.150,3405.555,0.002,0.002,34.047
TITAN V,1,0,circles_bruteforce_rtc,100,79507,43.000,2.000,1,1.000,79507.000,7.665,3408.628,0.002,0.002,34.079
TITAN V,1,0,circles_bruteforce_rtc,100,79507,43.000,2.000,2,1.000,79507.000,7.558,3410.212,0.002,0.002,34.094
TITAN V,1,0,circles_spatial3D,100,79507,43.000,2.000,0,1.000,188.840,0.002,274.138,0.002,0.040,2.734
TITAN V,1,0,circles_spatial3D,100,79507,43.000,2.000,1,1.000,189.416,0.003,269.531,0.002,0.073,2.687
TITAN V,1,0,circles_spatial3D,100,79507,43.000,2.000,2,1.000,189.229,0.003,274.274,0.002,0.041,2.735
TITAN V,1,0,circles_spatial3D_rtc,100,79507,43.000,2.000,0,1.000,188.840,8.002,146.573,0.002,0.031,1.458
TITAN V,1,0,circles_spatial3D_rtc,100,79507,43.000,2.000,1,1.000,189.416,7.727,147.749,0.002,0.030,1.470
TITAN V,1,0,circles_spatial3D_rtc,100,79507,43.000,2.000,2,1.000,189.229,7.669,146.641,0.002,0.030,1.458
TITAN V,1,0,circles_bruteforce,100,91125,45.000,2.000,0,1.000,91125.000,0.002,8459.580,0.002,0.002,84.588
TITAN V,1,0,circles_bruteforce,100,91125,45.000,2.000,1,1.000,91125.000,0.002,8464.791,0.002,0.002,84.640
TITAN V,1,0,circles_bruteforce,100,91125,45.000,2.000,2,1.000,91125.000,0.002,8464.293,0.002,0.002,84.635
TITAN V,1,0,circles_bruteforce_rtc,100,91125,45.000,2.000,0,1.000,91125.000,7.803,3851.583,0.002,0.002,38.508
TITAN V,1,0,circles_bruteforce_rtc,100,91125,45.000,2.000,1,1.000,91125.000,7.656,3853.808,0.002,0.002,38.530
TITAN V,1,0,circles_bruteforce_rtc,100,91125,45.000,2.000,2,1.000,91125.000,7.991,3855.762,0.002,0.002,38.550
TITAN V,1,0,circles_spatial3D,100,91125,45.000,2.000,0,1.000,190.143,0.002,287.787,0.002,0.032,2.870
TITAN V,1,0,circles_spatial3D,100,91125,45.000,2.000,1,1.000,190.130,0.002,287.434,0.002,0.038,2.866
TITAN V,1,0,circles_spatial3D,100,91125,45.000,2.000,2,1.000,190.560,0.002,289.318,0.002,0.039,2.885
TITAN V,1,0,circles_spatial3D_rtc,100,91125,45.000,2.000,0,1.000,190.143,7.947,151.828,0.002,0.031,1.510
TITAN V,1,0,circles_spatial3D_rtc,100,91125,45.000,2.000,1,1.000,190.130,7.762,151.119,0.002,0.032,1.503
TITAN V,1,0,circles_spatial3D_rtc,100,91125,45.000,2.000,2,1.000,190.560,7.774,152.454,0.002,0.031,1.517
TITAN V,1,0,circles_bruteforce,100,97336,46.000,2.000,0,1.000,97336.000,0.002,16020.045,0.002,0.002,160.193
TITAN V,1,0,circles_bruteforce,100,97336,46.000,2.000,1,1.000,97336.000,0.003,16860.750,0.002,0.002,168.600
TITAN V,1,0,circles_bruteforce,100,97336,46.000,2.000,2,1.000,97336.000,0.002,16026.377,0.002,0.002,160.256
TITAN V,1,0,circles_bruteforce_rtc,100,97336,46.000,2.000,0,1.000,97336.000,7.975,4089.515,0.002,0.002,40.887
TITAN V,1,0,circles_bruteforce_rtc,100,97336,46.000,2.000,1,1.000,97336.000,7.738,4090.056,0.002,0.002,40.893
TITAN V,1,0,circles_bruteforce_rtc,100,97336,46.000,2.000,2,1.000,97336.000,7.763,4092.391,0.002,0.002,40.916
TITAN V,1,0,circles_spatial3D,100,97336,46.000,2.000,0,1.000,202.325,0.002,308.004,0.002,0.040,3.072
TITAN V,1,0,circles_spatial3D,100,97336,46.000,2.000,1,1.000,202.264,0.002,305.893,0.002,0.038,3.051
TITAN V,1,0,circles_spatial3D,100,97336,46.000,2.000,2,1.000,202.548,0.002,308.581,0.002,0.039,3.078
TITAN V,1,0,circles_spatial3D_rtc,100,97336,46.000,2.000,0,1.000,202.325,7.922,219.261,0.002,0.035,2.185
