GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,s_step
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,134,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,135,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,136,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,137,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,138,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,139,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,140,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,141,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,142,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,143,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,144,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,145,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,146,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,147,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,148,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,149,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,150,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,151,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,152,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,153,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,154,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,155,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,156,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,157,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,158,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,159,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,160,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,161,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,162,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,163,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,164,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,165,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,166,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,167,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,168,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,169,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,170,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,171,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,172,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,173,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,174,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,175,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,176,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,177,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,178,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,179,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,180,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,181,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,182,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,183,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,184,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,185,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,186,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,187,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,188,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,189,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,190,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,191,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,192,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,193,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,194,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,195,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,196,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,197,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,198,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,199,0.053
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,0,0.049
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,1,0.049
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,2,0.049
