GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,5,1.000000,3722.180176,0.009333,0.533094,0.000000,0.000000,0.002649,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,10,1.000000,3722.180257,0.009000,0.532331,0.000000,0.000000,0.002646,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,20,1.000000,3722.180338,0.009667,0.531004,0.000000,0.000000,0.002639,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,50,1.000000,3722.180257,0.009333,0.533171,0.000000,0.000000,0.002650,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,100,1.000000,3722.180338,0.009000,0.535734,0.000000,0.000000,0.002663,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,200,1.000000,3722.180176,0.009000,0.535870,0.000000,0.000000,0.002663,64000.000000,15.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1.000000,8960.027344,0.009333,1.673399,0.000000,0.000000,0.008350,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1.000000,8960.027344,0.009333,1.347253,0.000000,0.000000,0.006719,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,2,1.000000,8960.027344,0.009333,1.343104,0.000000,0.000000,0.006699,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,5,1.000000,8960.027344,0.009333,1.338154,0.000000,0.000000,0.006674,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,10,1.000000,8960.027344,0.009333,1.337024,0.000000,0.000000,0.006669,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,20,1.000000,8960.027344,0.009000,1.338360,0.000000,0.000000,0.006675,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,50,1.000000,8960.027018,0.009000,1.348653,0.000000,0.000000,0.006727,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,100,1.000000,8960.027344,0.009333,1.355794,0.000000,0.000000,0.006763,64000.000000,20.000000
NVIDIA H100 PCIe,1,1,circles_spatial3D_rtc,200,64000,40.000000,8.000000,200,1.000000,8960.027018,0.009667,1.365483,0.000000,0.000000,0.006811,64000.000000,20.000000
