GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,s_step
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,152,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,153,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,154,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,155,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,156,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,157,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,158,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,159,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,160,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,161,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,162,0.065
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,163,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,164,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,165,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,166,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,167,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,168,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,169,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,170,0.065
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,171,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,172,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,173,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,174,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,175,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,176,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,177,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,178,0.066
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,179,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,180,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,181,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,182,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,183,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,184,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,185,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,186,0.066
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,187,0.063
